,域名数,网页数,互联网宽带接入端口数,居民平均每百户年末计算机拥有量,每百家企业拥有网站数,软件业务收入,软件产品收入,信息技术服务收入,信息安全收入,嵌入式系统软件收入,软件业务出口
19.00 ,4.11 ,10.62 ,0.64 ,1.91 ,1.32 ,4.11 ,4.94 ,4.24 ,9.53 ,0.13 ,2.83 
20.00 ,3.04 ,10.97 ,0.65 ,1.93 ,1.32 ,5.40 ,6.04 ,5.78 ,10.36 ,0.23 ,3.01 
21.00 ,4.61 ,11.63 ,0.63 ,1.82 ,1.30 ,6.99 ,7.21 ,7.74 ,12.64 ,0.30 ,3.67 
22.00 ,6.02 ,12.45 ,0.66 ,1.79 ,1.23 ,7.71 ,7.66 ,8.69 ,12.68 ,0.37 ,4.42 
23.00 ,4.81 ,13.30 ,0.66 ,1.55 ,1.19 ,9.15 ,8.79 ,10.50 ,11.70 ,0.44 ,4.07 
24.00 ,0.30 ,0.17 ,0.48 ,1.05 ,0.96 ,0.23 ,0.28 ,0.18 ,0.30 ,0.41 ,0.02 
25.00 ,0.51 ,0.19 ,0.53 ,1.03 ,0.94 ,0.14 ,0.07 ,0.13 ,0.17 ,0.32 ,0.04 
26.00 ,0.45 ,0.18 ,0.52 ,1.02 ,0.94 ,0.15 ,0.14 ,0.14 ,0.43 ,0.17 ,0.05 
27.00 ,0.18 ,0.18 ,0.54 ,0.75 ,0.89 ,0.17 ,0.14 ,0.16 ,0.56 ,0.27 ,0.06 
28.00 ,0.14 ,0.19 ,0.57 ,0.75 ,0.75 ,0.17 ,0.15 ,0.16 ,0.52 ,0.24 ,0.09 
29.00 ,0.14 ,0.20 ,0.60 ,0.48 ,0.68 ,0.19 ,0.16 ,0.17 ,0.65 ,0.35 ,0.06 
30.00 ,1.18 ,0.33 ,1.69 ,0.75 ,1.23 ,1.09 ,1.57 ,0.95 ,1.90 ,0.65 ,0.79 
31.00 ,1.77 ,0.40 ,1.83 ,0.77 ,1.32 ,1.27 ,1.66 ,1.15 ,2.17 ,0.83 ,0.83 
32.00 ,1.78 ,0.52 ,1.96 ,0.81 ,1.12 ,1.46 ,1.68 ,1.40 ,2.27 ,1.14 ,1.31 
33.00 ,1.03 ,0.54 ,2.10 ,0.68 ,1.10 ,1.49 ,1.55 ,1.51 ,2.29 ,1.06 ,0.62 
34.00 ,1.14 ,0.58 ,2.01 ,0.68 ,0.98 ,1.66 ,1.80 ,1.66 ,2.78 ,1.12 ,0.77 
35.00 ,0.79 ,0.61 ,2.10 ,0.71 ,0.91 ,1.88 ,2.23 ,1.84 ,3.21 ,1.06 ,0.93 
36.00 ,0.22 ,0.44 ,0.28 ,1.47 ,1.07 ,0.56 ,0.52 ,0.66 ,0.06 ,0.10 ,0.14 
37.00 ,0.27 ,0.41 ,0.34 ,1.43 ,0.98 ,0.69 ,0.48 ,0.86 ,0.05 ,0.20 ,0.12 
38.00 ,0.27 ,0.49 ,0.39 ,1.39 ,0.91 ,0.81 ,0.52 ,1.04 ,0.04 ,0.15 ,0.13 
39.00 ,0.25 ,0.52 ,0.42 ,1.27 ,0.89 ,0.91 ,0.48 ,1.20 ,0.04 ,0.24 ,0.10 
40.00 ,0.18 ,0.56 ,0.44 ,1.27 ,0.73 ,0.96 ,0.86 ,1.13 ,0.07 ,0.23 ,0.13 
41.00 ,0.17 ,0.60 ,0.47 ,1.25 ,0.73 ,1.07 ,0.93 ,1.28 ,0.05 ,0.19 ,0.13 
42.00 ,0.06 ,0.00 ,0.16 ,1.02 ,1.14 ,0.01 ,0.01 ,0.01 ,0.00 ,0.00 ,0.00 
43.00 ,0.07 ,0.00 ,0.16 ,1.07 ,1.00 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.00 
44.00 ,0.06 ,0.00 ,0.17 ,1.10 ,1.03 ,0.01 ,0.01 ,0.01 ,0.01 ,0.00 ,0.00 
45.00 ,0.04 ,0.00 ,0.19 ,0.90 ,1.03 ,0.01 ,0.02 ,0.01 ,0.01 ,0.00 ,0.00 
46.00 ,0.04 ,0.00 ,0.21 ,0.95 ,0.89 ,0.01 ,0.03 ,0.01 ,0.00 ,0.00 ,0.00 
47.00 ,0.03 ,0.00 ,0.22 ,0.87 ,0.80 ,0.01 ,0.02 ,0.02 ,0.01 ,0.00 ,0.00 
48.00 ,0.74 ,0.30 ,1.05 ,0.95 ,1.41 ,0.16 ,0.27 ,0.10 ,0.34 ,0.25 ,0.04 
49.00 ,1.23 ,0.33 ,1.09 ,0.95 ,1.37 ,0.23 ,0.40 ,0.15 ,0.07 ,0.34 ,0.07 
50.00 ,1.26 ,0.26 ,1.11 ,0.97 ,1.30 ,0.27 ,0.44 ,0.19 ,0.22 ,0.34 ,0.09 
51.00 ,1.09 ,0.27 ,1.21 ,0.86 ,1.25 ,0.30 ,0.60 ,0.19 ,0.23 ,0.27 ,0.16 
52.00 ,0.80 ,0.29 ,1.33 ,0.89 ,1.03 ,0.32 ,0.62 ,0.14 ,0.16 ,0.81 ,0.30 
53.00 ,0.60 ,0.30 ,1.47 ,0.82 ,1.00 ,0.38 ,0.69 ,0.21 ,0.20 ,0.70 ,0.37 
54.00 ,1.24 ,0.50 ,1.97 ,1.28 ,1.21 ,1.70 ,2.33 ,1.13 ,3.41 ,3.65 ,0.37 
55.00 ,1.44 ,0.55 ,2.16 ,1.31 ,1.19 ,1.88 ,2.89 ,1.26 ,4.02 ,3.17 ,0.72 
56.00 ,1.48 ,0.57 ,2.11 ,1.33 ,1.14 ,2.03 ,2.85 ,1.41 ,3.87 ,3.82 ,0.47 
57.00 ,1.58 ,0.61 ,2.20 ,1.03 ,1.07 ,2.66 ,2.86 ,1.74 ,4.51 ,8.17 ,0.71 
58.00 ,1.41 ,0.66 ,2.32 ,1.06 ,1.00 ,3.64 ,3.38 ,2.55 ,5.39 ,11.49 ,0.38 
59.00 ,1.23 ,0.70 ,2.39 ,1.05 ,0.96 ,4.43 ,3.96 ,3.18 ,5.28 ,14.09 ,0.79 
60.00 ,0.88 ,0.28 ,0.62 ,0.96 ,0.89 ,0.01 ,0.02 ,0.01 ,0.01 ,0.01 ,0.00 
61.00 ,0.67 ,0.36 ,0.67 ,0.94 ,0.78 ,0.02 ,0.03 ,0.01 ,0.01 ,0.01 ,0.00 
62.00 ,0.67 ,0.31 ,0.73 ,0.95 ,0.73 ,0.02 ,0.03 ,0.02 ,0.03 ,0.01 ,0.00 
63.00 ,0.28 ,0.34 ,0.77 ,0.71 ,0.68 ,0.02 ,0.02 ,0.02 ,0.07 ,0.02 ,0.00 
64.00 ,0.25 ,0.38 ,0.86 ,0.71 ,0.57 ,0.02 ,0.02 ,0.03 ,0.04 ,0.01 ,0.00 
65.00 ,0.28 ,0.41 ,0.88 ,0.75 ,0.46 ,0.04 ,0.03 ,0.05 ,0.06 ,0.02 ,0.00 
66.00 ,3.66 ,3.59 ,2.55 ,1.44 ,1.37 ,3.66 ,3.15 ,3.32 ,0.86 ,7.85 ,13.79 
67.00 ,4.98 ,3.83 ,2.67 ,1.51 ,1.35 ,4.07 ,3.39 ,3.94 ,1.22 ,7.20 ,11.89 
68.00 ,4.36 ,3.93 ,2.70 ,1.55 ,1.30 ,4.67 ,3.68 ,4.71 ,1.59 ,7.53 ,11.73 
69.00 ,4.05 ,4.12 ,2.92 ,1.41 ,1.25 ,5.40 ,4.48 ,5.45 ,1.95 ,7.98 ,13.41 
70.00 ,4.43 ,4.36 ,3.09 ,1.42 ,1.12 ,6.04 ,4.94 ,6.23 ,2.44 ,8.19 ,13.11 
71.00 ,6.27 ,4.59 ,3.25 ,1.32 ,1.10 ,7.00 ,5.35 ,7.45 ,2.89 ,8.97 ,12.04 
72.00 ,0.43 ,0.15 ,0.86 ,1.00 ,0.55 ,0.05 ,0.02 ,0.07 ,0.04 ,0.02 ,0.01 
73.00 ,1.02 ,0.17 ,0.94 ,1.01 ,0.57 ,0.14 ,0.05 ,0.19 ,0.04 ,0.01 ,0.01 
74.00 ,0.91 ,0.22 ,1.05 ,1.01 ,0.62 ,0.19 ,0.10 ,0.25 ,0.04 ,0.02 ,0.01 
75.00 ,0.54 ,0.23 ,1.12 ,0.86 ,0.64 ,0.24 ,0.10 ,0.33 ,0.02 ,0.01 ,0.01 
76.00 ,0.44 ,0.25 ,1.20 ,0.88 ,0.59 ,0.28 ,0.08 ,0.40 ,0.01 ,0.01 ,0.00 
77.00 ,0.43 ,0.26 ,1.28 ,0.76 ,0.62 ,0.19 ,0.04 ,0.29 ,0.02 ,0.01 ,0.01 
78.00 ,0.07 ,0.01 ,0.52 ,0.75 ,0.71 ,0.03 ,0.01 ,0.03 ,0.08 ,0.00 ,0.00 
79.00 ,0.13 ,0.01 ,0.57 ,0.72 ,0.59 ,0.03 ,0.02 ,0.03 ,0.02 ,0.00 ,0.00 
80.00 ,0.11 ,0.01 ,0.61 ,0.75 ,0.55 ,0.02 ,0.02 ,0.03 ,0.04 ,0.00 ,0.00 
81.00 ,0.10 ,0.01 ,0.70 ,0.67 ,0.59 ,0.03 ,0.02 ,0.03 ,0.07 ,0.00 ,0.00 
82.00 ,0.07 ,0.01 ,0.73 ,0.66 ,0.48 ,0.02 ,0.01 ,0.03 ,0.02 ,0.00 ,0.00 
83.00 ,0.07 ,0.01 ,0.82 ,0.53 ,0.48 ,0.01 ,0.00 ,0.01 ,0.01 ,0.00 ,0.00 
84.00 ,1.53 ,1.30 ,2.23 ,1.30 ,1.39 ,3.03 ,3.00 ,2.85 ,2.71 ,4.39 ,3.01 
85.00 ,1.98 ,1.36 ,2.26 ,1.29 ,1.37 ,3.35 ,4.13 ,2.86 ,3.11 ,4.73 ,4.84 
86.00 ,1.68 ,1.34 ,2.26 ,1.31 ,1.25 ,3.71 ,4.06 ,3.32 ,3.76 ,5.47 ,7.69 
87.00 ,1.41 ,1.41 ,2.33 ,1.10 ,1.21 ,3.90 ,4.06 ,3.57 ,3.37 ,5.89 ,5.67 
88.00 ,1.23 ,1.48 ,2.41 ,1.14 ,1.03 ,4.46 ,4.35 ,3.93 ,3.43 ,8.55 ,5.74 
89.00 ,1.00 ,1.58 ,2.50 ,1.28 ,1.00 ,4.93 ,4.49 ,4.41 ,3.79 ,9.88 ,5.04 
90.00 ,0.63 ,0.20 ,0.63 ,0.96 ,1.16 ,0.05 ,0.11 ,0.04 ,0.06 ,0.00 ,0.04 
91.00 ,1.28 ,0.20 ,0.74 ,0.98 ,1.12 ,0.06 ,0.15 ,0.04 ,0.03 ,0.01 ,0.04 
92.00 ,1.06 ,0.24 ,0.79 ,1.01 ,1.12 ,0.07 ,0.15 ,0.05 ,0.04 ,0.03 ,0.04 
93.00 ,0.47 ,0.25 ,0.83 ,0.86 ,1.10 ,0.07 ,0.16 ,0.05 ,0.06 ,0.02 ,0.05 
94.00 ,0.39 ,0.27 ,0.85 ,0.84 ,0.89 ,0.09 ,0.16 ,0.08 ,0.03 ,0.05 ,0.08 
95.00 ,0.37 ,0.28 ,0.89 ,0.83 ,0.84 ,0.09 ,0.17 ,0.07 ,0.04 ,0.04 ,0.07 
96.00 ,0.71 ,0.97 ,1.31 ,1.33 ,1.28 ,0.09 ,0.05 ,0.12 ,0.01 ,0.02 ,0.02 
97.00 ,1.13 ,1.05 ,1.36 ,1.09 ,1.25 ,0.11 ,0.07 ,0.14 ,0.02 ,0.03 ,0.03 
98.00 ,0.82 ,1.14 ,1.44 ,1.06 ,1.16 ,0.06 ,0.07 ,0.06 ,0.02 ,0.04 ,0.07 
99.00 ,0.66 ,1.21 ,1.57 ,0.92 ,1.14 ,0.15 ,0.09 ,0.19 ,0.08 ,0.06 ,0.05 
100.00 ,0.45 ,1.29 ,1.66 ,0.93 ,0.98 ,0.18 ,0.08 ,0.24 ,0.04 ,0.08 ,0.03 
101.00 ,0.43 ,1.39 ,1.71 ,0.82 ,0.94 ,0.23 ,0.10 ,0.30 ,0.05 ,0.10 ,0.00 
102.00 ,1.69 ,1.24 ,1.49 ,0.96 ,1.10 ,0.12 ,0.12 ,0.12 ,0.11 ,0.03 ,0.00 
103.00 ,2.55 ,1.40 ,1.48 ,0.97 ,1.03 ,0.12 ,0.13 ,0.12 ,0.10 ,0.08 ,0.00 
104.00 ,2.22 ,1.76 ,1.54 ,0.99 ,0.98 ,0.14 ,0.14 ,0.15 ,0.09 ,0.09 ,0.03 
105.00 ,1.06 ,1.90 ,1.76 ,0.91 ,0.91 ,0.16 ,0.15 ,0.16 ,0.29 ,0.10 ,0.04 
106.00 ,0.77 ,2.05 ,1.95 ,0.91 ,0.82 ,0.20 ,0.20 ,0.22 ,0.27 ,0.10 ,0.05 
107.00 ,0.75 ,2.15 ,2.07 ,0.83 ,0.80 ,0.26 ,0.24 ,0.27 ,0.21 ,0.30 ,0.09 
108.00 ,1.22 ,3.17 ,1.87 ,1.51 ,1.21 ,1.78 ,1.66 ,1.97 ,1.00 ,0.96 ,1.62 
109.00 ,1.50 ,3.35 ,1.96 ,1.51 ,1.10 ,2.09 ,2.57 ,1.99 ,0.49 ,1.81 ,2.90 
110.00 ,1.36 ,3.50 ,1.88 ,1.53 ,1.10 ,2.41 ,2.30 ,2.59 ,0.64 ,1.81 ,2.33 
111.00 ,1.07 ,3.77 ,1.95 ,1.30 ,1.07 ,2.62 ,2.41 ,2.91 ,0.55 ,1.47 ,1.77 
112.00 ,1.05 ,4.04 ,2.02 ,1.31 ,1.00 ,3.14 ,2.37 ,3.71 ,0.69 ,1.62 ,2.19 
113.00 ,0.98 ,4.33 ,2.17 ,1.31 ,1.00 ,3.21 ,2.33 ,3.79 ,0.82 ,2.00 ,1.65 
114.00 ,0.23 ,0.08 ,0.23 ,0.85 ,1.37 ,0.09 ,0.07 ,0.11 ,0.01 ,0.00 ,0.00 
115.00 ,0.52 ,0.11 ,0.25 ,0.90 ,1.19 ,0.10 ,0.07 ,0.12 ,0.05 ,0.00 ,0.03 
116.00 ,0.34 ,0.13 ,0.27 ,0.89 ,1.03 ,0.04 ,0.03 ,0.05 ,0.03 ,0.00 ,0.01 
117.00 ,0.14 ,0.14 ,0.34 ,0.83 ,0.96 ,0.04 ,0.02 ,0.05 ,0.02 ,0.00 ,0.00 
118.00 ,0.12 ,0.18 ,0.33 ,0.83 ,0.80 ,0.04 ,0.02 ,0.06 ,0.02 ,0.00 ,0.03 
119.00 ,0.11 ,0.18 ,0.36 ,0.80 ,0.80 ,0.04 ,0.02 ,0.06 ,0.01 ,0.00 ,0.01 
120.00 ,0.87 ,0.15 ,0.93 ,1.16 ,1.37 ,0.61 ,1.10 ,0.48 ,1.82 ,0.02 ,0.13 
121.00 ,1.68 ,0.19 ,0.96 ,1.16 ,1.35 ,0.71 ,1.19 ,0.59 ,1.71 ,0.09 ,0.19 
122.00 ,1.47 ,0.28 ,1.01 ,1.19 ,1.35 ,0.66 ,0.94 ,0.60 ,1.49 ,0.18 ,0.14 
123.00 ,0.70 ,0.29 ,1.15 ,1.05 ,1.32 ,0.73 ,0.80 ,0.79 ,0.61 ,0.19 ,0.16 
124.00 ,0.55 ,0.31 ,1.27 ,1.07 ,1.16 ,0.88 ,0.84 ,1.00 ,0.55 ,0.20 ,0.19 
125.00 ,0.55 ,0.32 ,1.38 ,0.92 ,1.00 ,1.04 ,0.83 ,1.25 ,0.44 ,0.31 ,0.18 
126.00 ,1.00 ,0.12 ,0.88 ,1.06 ,1.16 ,0.17 ,0.25 ,0.10 ,0.05 ,0.44 ,0.07 
127.00 ,2.04 ,0.13 ,0.94 ,1.07 ,1.07 ,0.21 ,0.31 ,0.17 ,0.09 ,0.26 ,0.05 
128.00 ,1.51 ,0.17 ,1.01 ,1.07 ,1.07 ,0.32 ,0.36 ,0.29 ,0.22 ,0.49 ,0.18 
129.00 ,0.81 ,0.18 ,1.10 ,0.87 ,1.12 ,0.38 ,0.41 ,0.36 ,0.15 ,0.55 ,0.28 
130.00 ,0.61 ,0.19 ,1.16 ,0.87 ,1.05 ,0.42 ,0.43 ,0.38 ,0.18 ,0.73 ,0.32 
131.00 ,0.64 ,0.21 ,1.31 ,0.89 ,1.03 ,0.41 ,0.45 ,0.33 ,0.15 ,0.82 ,0.15 
132.00 ,0.21 ,0.01 ,0.35 ,0.81 ,1.12 ,0.02 ,0.03 ,0.02 ,0.02 ,0.00 ,0.00 
133.00 ,0.28 ,0.01 ,0.44 ,0.79 ,0.98 ,0.02 ,0.03 ,0.02 ,0.02 ,0.00 ,0.00 
134.00 ,0.35 ,0.02 ,0.46 ,0.85 ,0.98 ,0.02 ,0.03 ,0.02 ,0.02 ,0.00 ,0.00 
135.00 ,0.12 ,0.02 ,0.51 ,0.80 ,1.03 ,0.02 ,0.02 ,0.01 ,0.02 ,0.00 ,0.00 
136.00 ,0.08 ,0.02 ,0.55 ,0.81 ,0.84 ,0.01 ,0.02 ,0.01 ,0.02 ,0.00 ,0.00 
137.00 ,0.16 ,0.02 ,0.61 ,0.75 ,0.68 ,0.02 ,0.02 ,0.02 ,0.01 ,0.00 ,0.00 
138.00 ,6.00 ,0.77 ,1.01 ,1.24 ,1.00 ,0.99 ,1.35 ,0.81 ,1.09 ,1.28 ,0.24 
139.00 ,5.66 ,0.67 ,1.01 ,1.27 ,0.91 ,1.02 ,1.19 ,0.85 ,1.31 ,1.70 ,0.48 
140.00 ,2.65 ,0.84 ,1.05 ,1.32 ,0.91 ,0.78 ,0.89 ,0.70 ,0.24 ,1.13 ,0.46 
141.00 ,3.53 ,0.89 ,1.11 ,1.23 ,0.89 ,0.85 ,0.79 ,0.86 ,0.27 ,1.05 ,0.50 
142.00 ,3.30 ,0.98 ,1.16 ,1.25 ,0.78 ,0.95 ,0.83 ,0.98 ,0.34 ,1.17 ,0.41 
143.00 ,1.66 ,1.10 ,1.20 ,1.09 ,0.73 ,1.05 ,1.08 ,1.08 ,0.41 ,0.93 ,0.42 
144.00 ,0.01 ,0.00 ,0.06 ,0.39 ,1.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
145.00 ,0.02 ,0.00 ,0.07 ,0.45 ,1.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
146.00 ,0.01 ,0.00 ,0.07 ,0.47 ,1.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
147.00 ,0.01 ,0.00 ,0.08 ,0.48 ,1.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
148.00 ,0.01 ,0.00 ,0.09 ,0.49 ,0.96 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
149.00 ,0.01 ,0.00 ,0.10 ,0.55 ,0.87 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
150.00 ,0.32 ,0.01 ,0.48 ,0.61 ,1.00 ,0.06 ,0.04 ,0.08 ,0.02 ,0.01 ,0.01 
151.00 ,0.98 ,0.02 ,0.55 ,0.66 ,0.96 ,0.07 ,0.03 ,0.10 ,0.09 ,0.01 ,0.01 
152.00 ,0.90 ,0.01 ,0.54 ,0.69 ,0.94 ,0.09 ,0.04 ,0.12 ,0.11 ,0.01 ,0.01 
153.00 ,1.88 ,0.01 ,0.64 ,0.60 ,0.94 ,0.14 ,0.04 ,0.20 ,0.10 ,0.02 ,0.02 
154.00 ,1.48 ,0.01 ,0.75 ,0.63 ,0.71 ,0.25 ,0.08 ,0.35 ,0.11 ,0.03 ,0.00 
155.00 ,1.43 ,0.01 ,0.82 ,0.60 ,0.59 ,0.29 ,0.09 ,0.41 ,0.15 ,0.03 ,0.00 
156.00 ,0.53 ,0.17 ,1.01 ,0.99 ,1.14 ,0.52 ,0.97 ,0.34 ,3.44 ,0.06 ,1.34 
157.00 ,0.78 ,0.21 ,1.02 ,0.98 ,1.10 ,0.60 ,1.04 ,0.44 ,3.06 ,0.16 ,1.26 
158.00 ,0.65 ,0.27 ,1.03 ,1.01 ,1.03 ,0.66 ,1.25 ,0.46 ,2.98 ,0.06 ,1.34 
159.00 ,0.35 ,0.29 ,1.02 ,0.80 ,1.00 ,0.63 ,1.34 ,0.38 ,1.13 ,0.42 ,1.41 
160.00 ,0.31 ,0.31 ,1.08 ,0.80 ,0.84 ,0.71 ,1.63 ,0.43 ,0.81 ,0.20 ,1.47 
161.00 ,0.30 ,0.33 ,1.16 ,0.67 ,0.78 ,0.80 ,1.78 ,0.48 ,1.25 ,0.32 ,1.60 
162.00 ,0.38 ,0.05 ,0.70 ,0.94 ,1.12 ,0.48 ,0.44 ,0.47 ,0.67 ,0.60 ,0.08 
163.00 ,0.66 ,0.05 ,0.72 ,0.96 ,1.07 ,0.59 ,0.57 ,0.55 ,0.82 ,0.82 ,0.10 
164.00 ,0.71 ,0.05 ,0.74 ,1.00 ,1.07 ,0.69 ,0.67 ,0.66 ,0.91 ,0.89 ,0.12 
165.00 ,0.44 ,0.05 ,0.82 ,1.12 ,1.07 ,0.85 ,0.87 ,0.80 ,1.11 ,1.08 ,0.15 
166.00 ,0.31 ,0.06 ,0.83 ,1.13 ,1.00 ,0.93 ,0.97 ,0.94 ,1.26 ,0.68 ,0.16 
167.00 ,0.32 ,0.06 ,0.86 ,0.87 ,0.96 ,1.08 ,1.12 ,1.10 ,1.56 ,0.77 ,0.20 
168.00 ,0.43 ,0.15 ,0.70 ,0.77 ,1.19 ,0.68 ,0.64 ,0.76 ,0.10 ,0.38 ,0.62 
169.00 ,0.88 ,0.12 ,0.73 ,0.78 ,1.10 ,0.98 ,0.95 ,0.99 ,0.06 ,1.21 ,0.37 
170.00 ,0.80 ,0.15 ,0.80 ,0.84 ,1.07 ,0.97 ,0.66 ,1.15 ,0.06 ,0.75 ,0.45 
171.00 ,0.48 ,0.16 ,0.92 ,0.71 ,1.10 ,1.08 ,0.63 ,1.19 ,0.08 ,1.70 ,0.97 
172.00 ,0.35 ,0.17 ,0.94 ,0.73 ,0.98 ,0.70 ,0.39 ,0.38 ,0.06 ,3.85 ,0.37 
173.00 ,0.32 ,0.19 ,1.02 ,0.68 ,0.98 ,0.79 ,0.41 ,0.33 ,0.04 ,5.11 ,0.39 
174.00 ,0.02 ,0.00 ,0.11 ,0.74 ,1.16 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
175.00 ,0.03 ,0.00 ,0.12 ,0.75 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
176.00 ,0.04 ,0.00 ,0.13 ,0.78 ,0.98 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 
177.00 ,0.02 ,0.00 ,0.14 ,0.65 ,0.98 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
178.00 ,0.02 ,0.00 ,0.14 ,0.66 ,0.84 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
179.00 ,0.01 ,0.00 ,0.14 ,0.72 ,0.73 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
180.00 ,0.23 ,0.19 ,0.66 ,0.85 ,1.00 ,0.02 ,0.03 ,0.01 ,0.17 ,0.02 ,0.00 
181.00 ,0.46 ,0.17 ,0.68 ,0.84 ,0.89 ,0.02 ,0.03 ,0.02 ,0.01 ,0.03 ,0.01 
182.00 ,0.44 ,0.14 ,0.66 ,0.86 ,0.87 ,0.02 ,0.02 ,0.01 ,0.00 ,0.01 ,0.00 
183.00 ,0.20 ,0.16 ,0.71 ,0.66 ,0.84 ,0.02 ,0.03 ,0.02 ,0.02 ,0.01 ,0.00 
184.00 ,0.19 ,0.17 ,0.69 ,0.66 ,0.71 ,0.02 ,0.03 ,0.01 ,0.08 ,0.02 ,0.01 
185.00 ,0.22 ,0.19 ,0.69 ,0.55 ,0.68 ,0.02 ,0.03 ,0.02 ,0.02 ,0.03 ,0.00 
